,title,description,genre,published_date,authors
66,charlottes web,wilbur the pig is desolate when he discovers that he is destined to be the farmers christmas dinner until his spider friend charlotte decides to help him,fantasy,1997.0,elwyn brooks white
67,tales from moominvalley,here are nine delightfully funny stories about the triumphs and tribulations of the citizens of moominvalley readers will discover how the moomin family save young ninny from permanent invisibility and what happens when moomintroll catches the last dragon in the world some of the characters in these tales will be brandnew to moomin fans but there are lots of old friends to meet as well,fantasy,2010.0,tove jansson
68,neverseen,sophie battles the rebelsand recovers dark memories from her past she must question everything to find a truth that will either save her worldor shatter it,fantasy,2016.0,shannon messenger
69,the field guide,when the grace children go to stay at their greataunt and other creatures and begin to have some unusual experiences,fantasy,2003.0,tony diterlizzi holly black
70,the brothers lionheart,two brothers share many adventures after their death when they are reunited in nangiyala the land from which sagas come,fantasy,2004.0,astrid lindgren
71,the fantastic flying books of mr morris lessmore,morris lessmore loved words he loved stories he loved books but every story has its upsets everything in morris lessmores life including his own story is scattered to the winds but the power of story will save the day,fantasy,2012.0,william joyce
72,the winter king,a retelling of the arthurian legend from the point of view of derfel cadarn one of arthurs warriors who later becomes a monk,fantasy,1997.0,bernard cornwell
73,the gremlins,friendly little gremlins help a royal air force fighter pilot in world war ii,fantasy,2006.0,roald dahl
74,the foot book,beginners text describes all sorts of feet doing all sorts of things,fantasy,1968.0,dr seuss
75,winniethepooh,little ones who love winniethepooh and terrific textures to touch and feel will delight in this years winniethepoohs touch and feel on every sturdy page baby will have endless interactive fun with ten tactile elements ranging from poohs sticky honey to piglets rubbery red balloon to a mirror displaying tiggers stripy reflection the youngest pooh admirers wont be able to keep their hands off this charming book filled with ernest h shepards bright and lively fullcolor artwork and classic vignettes from a a milnes timeless volumesand the mirth and merriment of winniethepooh,fantasy,1954.0,alan alexander milne
76,the lightning thief,after learning that he is the son of a mortal woman and poseidon god of the sea twelveyearold percy is sent to a summer camp for demigods like himself and joins his new friends on a quest to prevent a war between the gods,fantasy,2005.0,rick riordan
77,the gunslinger,the end is near start at the beginningprepare for the climax of stephen kings careerget ready for the final dark tower books this fallstock up on the first dark tower book this summerthe i bestsellerbook one in mass market paperback from signet,fantasy,1982.0,stephen king
78,brisingr,following the colossal battle against the empires warriors eragon and saphira narrowly escaped with their lives but more awaits the rider and his dragon as eragon finds himself bound by promises he may not be able to keep including his oath to cousin,fantasy,2009.0,christopher paolini
79,the moomins and the great flood,the first moomin story moomin moominmamma and sniff search through forest and flood for long lost moominpappa in a series of adventures along the way they encounter hemulens stranded kittens and the bluehaired tulippa,fantasy,2012.0,tove jansson
80,the magic of oz,a young citizen of oz learns an important magic word and falls prey to the wickedness of the nomes exking who wants to destroy dorothy the wizard and princess ozma,fantasy,1919.0,lyman frank baum
81,the neverending story,for use in schools and libraries only shy awkward bastian is amazed to discover that he has become a character in the mysterious book he is reading and that he has an important mission to fulfill,fantasy,1984.0,michael ende
82,to green angel tower,book three ofmemory sorrow and thorn,fantasy,1994.0,tad williams
83,dark carousel,in this intoxicating carpathian novel from 1 new york times bestselling author christine feehan a woman falls prey to the seductive allure of the pastand a vampire warriors intoxicating embrace the moment charlotte vintage walks into his club tariq asenguards blood is set on fire the ancient carpathian had given up hope of finding his lifemate but now he will do anything to make charlotte his own what tariq doesnt know is that charlotte is using herself and her best friend as baitto try to draw out the bloodthirsty killers who have already murdered charlottes brother and mentor charlotte is familiar with tariq not only is he one of the richest and most eligible bachelors in the city but hes also a renowned collector of old carousel horses which charlotte restores their shared passion opens charlotte up to trusting him with her life and with the desire she can no longer control but it also makes her vulnerable to a centuriesold curse that will unite her and tariq in a war against the enemies of humans and carpathians alike,fantasy,2016.0,christine feehan
84,sea fairies,nobody said capn bill solemnly ever sawr a mermaid an lived to tell the tale why not asked trot looking earnestly up into the old sailors face they were seated on a bench built around a giant acacia tree that grew just at the edge of the bluff below them rolled the blue waves of the great pacific a little way behind them was the house a neat frame cottage painted white and surrounded by huge eucalyptus and pepper trees still farther behind that  a quarter of a mile distant but built upon a bend of the coast  was the village overlooking a pretty bay,fantasy,2012.0,l frank baum
85,harry potter and the chamber of secrets,witchcraft wizardry  fiction,fantasy,1999.0,j k rowling
86,eragon eldest,in aagaesia a fifteenyearold boy of unknown lineage called eragon finds a mysterious stone that weaves his life into an intricate tapestry of destiny magic and power peopled with dragons elves and monsters,fantasy,2005.0,christopher paolini
87,the left hand of darkness,a groundbreaking work of science fiction the left hand of darkness tells the story of a lone human emissary to winter an alien world whose inhabitants can change their gender his goal is to facilitate winters inclusion in a growing intergalactic civilization but to do so he must bridge the gulf between his own views and those of the completely dissimilar culture that he encounters embracing the aspects of psychology society and human emotion on an alien world the left hand of darkness stands as a landmark achievement in the annals of intellectual science fiction copyright  libri gmbh all rights reserved,fantasy,1987.0,ursula k le guin
88,the princess and the goblin,princess irenes discovery of a secret stair to the top turret of the castle leads to a wonderful revelation at the same time the miners son curdie overhears a fiendish plot by the goblins who live below the mountain but it will take all their wit and courage and the help of irenes magic ring to make sense of their separate knowledge and foil the goblins schemes,fantasy,1996.0,george macdonald
89,harry potter and the sorcerers stone,rescued from the outrageous neglect of his aunt and uncle a young boy with a great destiny proves his worth while attending hogwarts school for wizards and witches,fantasy,1998.0,j k rowling
90,mistborn,fantasy roman,fantasy,2007.0,brandon sanderson
91,glinda of oz,book 14 of l frank baums immortal oz series in which ozma and dorothy travel to an enchanted island to prevent an impending battle between the skeezers and the flatheads but are instead imprisoned in the city just before the island is submerged,fantasy,1920.0,lyman frank baum
